COD,SETOR,PRECO_ATUAL,LIQUIDEZ_DIARIA,DIVIDENDO,DIVIDEND_YIELD,DY_3M_ACUM,DY_6M_ACUM,DY_12M_ACUM,DY_3M_MEDIA,DY_6M_MEDIA,DY_12M_MEDIA,DY_ANO,VARIACAO_PRECO,RENTAB_PERIODO,RENTAB_ACUM,PATRIMONIO_LIQ,VPA,P_VPA,DY_PATRIMONIAL,VARIACAO_PATRIMONIAL,RENTAB_PATR_NO_PERIODO,RENTAB_PATR_ACUM,VACANCIA_FISICA,VACANCIA_FINANCEIRA,QUANTIDADE_ATIVOS
TRNT11,Lajes Corporativas,"100,01",1,"0,47","0,44","1,03","1,96","4,03","0,34","0,33","0,34","0,76","-14,31","-13,93","-13,66"," 774.860.922,43"," 196,89","0,51",N/A,N/A,N/A,N/A,"49,90",N/A,1
VGIP11,Outros,"79,52",14638,"0,87","1,06","3,02","4,57","12,83","1,01","0,76","1,07","2,05","1,36","2,44","3,45"," 1.068.757.358,59"," 90,67","0,88","0,50","-1,78","-1,29","8,00",N/A,N/A,0
MCCI11,Títulos e Val. Mob.,"88,00",26067,"0,95","1,13","3,52","7,00","13,49","1,17","1,17","1,12","2,25","-0,84","0,28","1,41"," 1.348.562.788,74"," 92,40","0,95","1,19","-2,01","-0,85","3,25",N/A,N/A,0
GCRI11,Títulos e Val. Mob.,"90,00",81,"1,10","1,21","3,63","7,13","15,63","1,21","1,19","1,30","2,44","1,05","2,28","3,53"," 112.371.669,04"," 94,37","0,95",N/A,N/A,N/A,N/A,N/A,N/A,0
HCRI11,Hospital,"231,11",37,"2,69","1,12","3,75","6,83","11,44","1,25","1,14","0,95","2,22","5,19","6,37","7,54"," 61.592.370,00"," 307,96","0,75",N/A,N/A,N/A,N/A,"0,00",N/A,1
NAVT11,Títulos e Val. Mob.,"72,92",33,"0,85","1,19","3,56","6,87","13,74","1,19","1,15","1,15","2,39","0,51","1,70","2,92"," 94.740.518,92"," 89,84","0,81","0,95","-3,92","-3,02","0,49",N/A,N/A,0
MGCR11,Títulos e Val. Mob.,"79,18",1507,"0,86","1,09","3,31","6,85","15,21","1,10","1,14","1,27","2,19","0,68","1,78","2,90"," 127.904.113,96"," 89,93","0,88","1,00","-2,99","-2,02","4,14",N/A,N/A,0
BRLA11,Híbrido,"150,00",122,"1,09","0,79","2,31","14,97","18,65","0,77","2,49","1,55","1,55","-2,90","-2,14","-1,39"," 426.827.499,46"," 157,77","0,95","0,69","0,04","0,74","-8,63",N/A,N/A,0
OURE11,Títulos e Val. Mob.,"73,87",1244,"0,95","1,28","3,83","7,63","15,49","1,28","1,27","1,29","2,62","0,30","1,58","2,95"," 97.391.495,28"," 90,42","0,82","1,05","-0,11","0,94","2,06",N/A,N/A,0
RECX11,Outros,"65,50",33,"0,70","1,08","3,02","6,04","11,73","1,01","1,01","0,98","2,17","0,86","1,95","3,05"," 17.059.567,76"," 78,14","0,84",N/A,N/A,N/A,N/A,N/A,N/A,0
OUFF11,Títulos e Val. Mob.,"60,37",2784,"0,70","1,14","3,34","6,52","13,25","1,11","1,09","1,10","2,25","-1,88","-0,76","0,34"," 131.794.527,70"," 72,64","0,83","0,96","-1,46","-0,51","0,43",N/A,N/A,0
GCFF11,Títulos e Val. Mob.,"65,00",266,"0,75","1,11","3,14","6,17","12,52","1,05","1,03","1,04","2,12","-1,96","-0,87","0,14"," 26.903.483,90"," 79,46","0,82","0,88","0,00","0,88","0,88",N/A,N/A,0
WTSP11B,Híbrido,"34,90",1,"0,23","0,62","1,95","4,48","7,60","0,65","0,75","0,63","1,19","6,02","6,68","7,29"," 71.895.390,14"," 72,43","0,48","0,32","-0,05","0,27","0,54",N/A,N/A,0
AFHI11,Títulos e Val. Mob.,"92,80",3753,"1,06","1,12","3,27","6,30","14,24","1,09","1,05","1,19","2,24","0,57","1,70","2,84"," 286.309.475,82"," 94,82","0,98","1,01","-0,94","0,06","5,00",N/A,N/A,0
OULG11,Outros,"35,89",1254,"0,41","1,07","3,07","4,21","8,98","1,02","0,70","0,75","2,12","-3,20","-2,16","-1,14"," 166.543.855,37"," 67,12","0,53","0,61","-0,14","0,47","1,08","0,00",N/A,2
SNID11,Renda,"101,00",1023,"0,04","0,04","0,00","0,00","0,00","0,00","0,00","0,00","0,04","0,00","0,04","0,04",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
